name,l,b,n16,n50,n84,f16,f50,f84,m16,m50,m84,d16,d50,d84,p16,p50,p84,sfore16,sfore50,sfore84,sback16,sback50,sback84,mdwarf,new,Extinction,X,Y,Z,Vrad_observed,Vrad_observed_err,Vrad_predicted,Odds,ra,dec,rawwt
Mon_R2,220.9,-8.3,0.5449,0.5473,0.55,0.1794,0.1807,0.1821,9.7996,9.8075,9.8208,911,915,920,0.0207,0.0243,0.0288,0.0499,0.0538,0.0578,0.0587,0.06,0.0617,0,0,2.05,-684,-592,-132,12.4,0.11,12.5,16.39390944,99.0106659,-10.83044129,279.0106659
Mon_R2,213.9,-11.9,0.4797,0.4842,0.4886,0.1662,0.1689,0.1715,9.4414,9.4846,9.5167,773,788,800,0.1092,0.1237,0.1376,0.0497,0.0546,0.0597,0.0671,0.071,0.0749,0,0,2.07,-639,-430,-162,11.5,0.042,9.8,5.91372077,92.6626303,-6.242642438,272.6626303
Mon_R2,219.3,-9.5,0.4598,0.4635,0.467,0.2786,0.2826,0.2864,9.7946,9.8278,9.851,909,923,933,0.082,0.0951,0.1109,0.0508,0.0546,0.0593,0.0839,0.088,0.0926,0,0,3.58,-704,-576,-152,12.2,0.067,12.4,10.15796681,97.20743221,-9.940095573,277.20743221
NorthAmerica,81.7,-1.7,0.5282,0.5313,0.5342,0.3493,0.3732,0.3967,9.6082,9.6538,9.6958,834,852,869,0.1376,0.1534,0.1723,0.0306,0.0363,0.0407,0.1188,0.1225,0.1271,0,1,4.61,122,842,-25,2.8,0.047,2.7,23.13668675,312.1238547,40.95693795,132.12385469999998
NorthAmerica,83.7,-2.1,0.5213,0.5243,0.5274,0.558,0.5952,0.6342,9.4288,9.464,9.4945,768,781,792,0.0499,0.0631,0.0768,0.0561,0.0616,0.0672,0.1249,0.1289,0.1333,0,1,5.55,85,775,-28,2.6,0.111,1.8,23.33616375,314.2449582,42.23754546,134.24495819999999
NorthAmerica,82.8,-2.1,0.5061,0.51,0.5136,0.4761,0.4994,0.5218,9.5068,9.5402,9.5721,796,809,821,0.0953,0.1138,0.1337,0.0373,0.0409,0.0443,0.1422,0.1471,0.1529,0,1,5.06,101,802,-29,4.5,0.07,2.2,23.33737572,313.4645351,41.55092452,133.46453509999998
NorthAmerica,84.6,0.1,0.2716,0.273,0.2744,0.3081,0.328,0.3488,9.4722,9.495,9.5172,784,792,800,0.2068,0.2269,0.2445,0.0288,0.0319,0.0357,0.0938,0.0975,0.102,0,1,5.03,74,788,1,-0.2,0.053,1.4,24.26974506,312.7243597,44.34113463,132.72435969999998
NorthAmerica,86.6,-2.1,0.578,0.5808,0.5834,0.733,0.7368,0.7403,9.2587,9.3211,9.4362,710,731,771,0.0274,0.0334,0.0399,0.0799,0.0923,0.1084,0.0756,0.0776,0.0797,0,1,2.98,43,729,-26,12.4,0.123,0.7,21.62763128,316.8829606,44.40954867,136.8829606
NorthAmerica,85.8,-2.2,0.5632,0.5654,0.5676,0.9251,0.9289,0.9325,9.5411,9.6075,9.654,809,834,852,0.0221,0.0284,0.0349,0.1819,0.1991,0.2137,0.0878,0.0898,0.0922,0,1,3.79,61,831,-32,12.5,0.121,0.9,21.21051206,316.2387391,43.75005326,136.23873909999998
NorthAmerica,84.8,-1.2,0.3944,0.3978,0.4011,0.3903,0.4169,0.4446,9.662,9.7179,9.7883,855,878,907,0.1505,0.1714,0.194,0.0327,0.0389,0.0462,0.1013,0.106,0.1117,0,1,4.58,79,874,-18,2.7,0.05,1.3,21.92066843,314.2870177,43.65811725,134.28701769999998
NorthAmericaNebula,85.3,-0.8,0.425,0.4275,0.43,0.3471,0.4388,0.8645,9.3855,9.4733,9.7773,753,784,902,0.0474,0.0592,0.0718,0.0388,0.0518,0.1461,0.1039,0.1069,0.11,0,1,3.51,64,781,-10,,,1.1,24.3620597,314.3168659,44.29800905,134.31686589999998
NorthAmericaNebula,84.2,-1.3,0.4741,0.4758,0.4776,0.4089,0.4338,0.4603,9.5093,9.546,9.5647,797,811,818,0.0888,0.1011,0.1141,0.0388,0.0418,0.0452,0.0991,0.1018,0.1049,0,1,5.1,81,806,-18,2.4,0.093,1.6,24.67774965,313.856548,43.13658232,133.85654799999998
NorthAmericaNebula,84.8,-1.7,0.5211,0.5237,0.5262,0.6942,0.8717,0.8786,9.544,9.5729,9.6061,810,821,834,0.0262,0.032,0.0387,0.0639,0.0764,0.0879,0.1046,0.107,0.1096,0,1,3.56,74,817,-24,1.7,0.129,1.3,23.92292494,314.8091526,43.33172597,134.8091526
NorthernCoalsack,91.3,4.2,0.3292,0.3327,0.3364,0.8512,0.861,0.8709,8.7832,8.8079,8.8385,570,577,585,0.2504,0.2781,0.3064,0.0588,0.0645,0.0726,0.1876,0.1904,0.194,0,1,3.53,-13,575,42,-4.1,0.133,-0.6,23.75944341,314.4779931,52.10402888,134.4779931
NorthernCoalsack,92.6,3.5,0.2895,0.2923,0.2952,0.6971,0.9447,0.9566,8.6948,8.7462,8.7974,548,561,574,0.1068,0.1454,0.173,0.0719,0.0843,0.093,0.1475,0.1534,0.1607,0,1,3.93,-25,559,34,-2.8,0.07,-1.0,21.82370655,316.7423124,52.61426289,136.7423124
NorthernCoalsack,92.2,4.3,0.4052,0.4082,0.4112,0.4998,0.5332,0.5675,8.6607,8.6929,8.7152,539,547,553,0.0702,0.0986,0.1302,0.0422,0.0481,0.0545,0.2062,0.2096,0.2136,0,1,3.94,-20,545,41,-2.3,0.061,-0.8,22.79957251,315.3174701,52.84842852,135.31747009999998
Orion,204.8,-13.3,0.6659,0.6698,0.6736,0.1761,0.2183,0.2629,8.069,8.0913,8.1147,410,415,419,0.0169,0.0209,0.0257,0.0237,0.0284,0.0347,0.0612,0.0635,0.0658,0,1,2.8,-366,-169,-95,9.3,0.047,4.3,18.39927212,87.34075339,1.009365843,267.34075339000003
Orion,207.4,-16.0,0.6415,0.6466,0.6519,0.2069,0.258,0.3135,8.261,8.2743,8.3107,448,451,459,0.0255,0.032,0.04,0.0269,0.032,0.0387,0.0712,0.0745,0.0778,0,1,2.38,-384,-199,-124,10.6,0.041,4.9,22.13695207,86.13097087,-2.47678267,266.13097087
Orion,204.7,-19.2,0.6478,0.6584,0.6695,0.0472,0.0486,0.0499,8.0127,8.1094,8.1845,400,418,433,0.0143,0.0173,0.0208,0.051,0.0633,0.0749,0.0257,0.0271,0.0287,0,0,0.5,-358,-164,-137,,,4.2,25.0964382,82.09671695,-1.697180838,262.09671695
Orion,201.3,-13.8,0.65,0.6545,0.6589,0.1167,0.1179,0.1191,8.0672,8.1172,8.1511,410,420,426,0.0138,0.0164,0.0195,0.0337,0.0424,0.0519,0.0324,0.0336,0.0349,0,0,1.22,-380,-148,-100,1.0,0.253,3.8,17.77878675,85.2682372,3.755307151,265.2682372
Orion,202.0,-14.0,0.6551,0.6598,0.6643,0.1333,0.1348,0.1362,7.9979,8.0063,8.0305,397,399,403,0.0168,0.0201,0.0239,0.0286,0.0337,0.0404,0.0425,0.044,0.0456,0,0,1.39,-358,-145,-96,4.2,0.163,3.7,19.99797544,85.42341895,3.064130217,265.42341895
Orion,209.8,-19.5,0.4242,0.4389,0.4527,0.146,0.1837,0.2313,8.0697,8.2075,8.2849,411,438,453,0.0368,0.0444,0.0558,0.0197,0.0236,0.0281,0.1216,0.1331,0.1461,0,0,3.91,-358,-205,-146,8.0,0.022,5.0,24.50968379,84.05151983,-6.106385975,264.05151983
Orion,212.4,-17.3,0.6937,0.6997,0.7055,0.1472,0.149,0.1508,8.3533,8.5907,8.6718,468,522,542,0.0133,0.0164,0.0195,0.065,0.0789,0.0897,0.0409,0.0425,0.0443,0,0,1.5,-420,-267,-155,11.7,0.192,6.3,24.19119842,87.14044619,-7.337254143,267.14044619000003
Orion,214.7,-19.0,0.6879,0.6938,0.6996,0.2676,0.2709,0.2741,8.0668,8.096,8.1191,410,416,420,0.0225,0.0283,0.0358,0.0328,0.0392,0.0462,0.0626,0.066,0.0694,0,0,2.74,-323,-223,-135,5.2,0.052,5.1,16.82929736,86.55433583,-10.04475112,266.55433583
Orion,207.9,-16.8,0.7397,0.7448,0.7502,0.2244,0.2271,0.2294,7.9973,8.07,8.1188,397,411,420,0.0217,0.027,0.0326,0.0247,0.0289,0.034,0.0622,0.0649,0.0676,0,0,2.24,-347,-184,-118,10.9,0.101,4.5,22.44640854,85.64167264,-3.271300764,265.64167264
Orion,208.4,-19.6,0.6637,0.674,0.6847,0.1298,0.1752,0.2591,7.9667,8.0079,8.0828,392,399,413,0.0421,0.0536,0.0677,0.0231,0.0276,0.0327,0.0917,0.0979,0.1047,0,0,2.69,-330,-178,-133,10.8,0.033,4.4,23.07149899,83.36313201,-4.974542146,263.36313201
Orion,212.4,-19.9,0.6154,0.6223,0.6291,0.2608,0.2678,0.2727,8.0055,8.092,8.1432,399,415,425,0.0307,0.0393,0.0497,0.0242,0.0291,0.0352,0.0835,0.0877,0.0929,0,0,2.85,-329,-209,-141,6.1,0.053,4.9,20.06793413,84.78183874,-8.478514906,264.78183874
Orion,205.7,-14.8,0.6445,0.6491,0.6534,0.2186,0.2639,0.3117,8.0833,8.2018,8.3156,413,436,460,0.0268,0.0335,0.0418,0.0249,0.0296,0.0359,0.0745,0.0781,0.0818,0,1,3.42,-379,-182,-111,10.1,0.026,4.6,20.3134853,86.42906199,-0.467486262,266.42906199
Orion,202.0,-13.3,0.6766,0.6802,0.684,0.1968,0.1984,0.2,8.3502,8.4115,8.4582,467,481,491,0.0171,0.0208,0.0251,0.0442,0.0508,0.0584,0.0452,0.0469,0.0486,0,0,2.02,-434,-175,-110,8.8,0.177,4.5,10.97510593,86.03705937,3.402722196,266.03705937
Orion,212.2,-18.6,0.6855,0.6905,0.6952,0.2265,0.2289,0.231,8.3488,8.378,8.4064,467,473,480,0.0233,0.0286,0.0353,0.0295,0.0345,0.0418,0.0514,0.0538,0.0564,0,0,2.32,-379,-238,-150,5.8,0.071,5.6,24.31465042,85.8787037,-7.739263194,265.8787037
Orion,209.1,-19.9,0.7401,0.7522,0.7651,0.2088,0.3455,0.3603,8.1469,8.2427,8.3619,425,445,470,0.0236,0.0304,0.039,0.0354,0.0435,0.0518,0.0819,0.0886,0.0964,0,0,3.5,-365,-203,-151,8.8,0.021,4.9,25.09571767,83.39430419,-5.697786741,263.39430419
Orion,209.0,-20.1,0.7073,0.7179,0.7287,0.2523,0.2596,0.2652,7.9257,7.9781,8.0352,384,394,404,0.0233,0.0303,0.0396,0.0292,0.0351,0.042,0.0957,0.101,0.1066,0,0,2.6,-323,-179,-135,9.0,0.027,4.4,22.0796949,83.17232366,-5.704197346,263.17232366
Orion,206.4,-15.4,0.5983,0.605,0.6115,0.1592,0.2024,0.2483,8.0736,8.1839,8.3158,411,433,460,0.0366,0.0483,0.0626,0.0229,0.0276,0.0334,0.0988,0.1057,0.1132,0,1,4.73,-373,-185,-114,8.1,0.056,4.6,21.35617308,86.21515588,-1.345551396,266.21515588
Orion_Lam,194.7,-10.1,0.6796,0.6837,0.6878,0.1258,0.1269,0.128,8.1199,8.1457,8.2681,420,425,450,0.0131,0.0155,0.0183,0.0186,0.022,0.0259,0.0411,0.0423,0.0435,0,0,1.29,-404,-106,-74,15.1,0.293,2.8,8.236933365,85.2650468,11.1960074,265.2650468
Orion_Lam,194.8,-12.1,0.7542,0.7607,0.7674,0.0995,0.101,0.1023,8.0992,8.135,8.1934,416,423,435,0.0139,0.0166,0.0197,0.0438,0.0519,0.0625,0.0335,0.0348,0.0363,0,0,0.99,-399,-105,-88,,,2.8,10.54980454,83.56503044,10.09225216,263.56503044
Orion_Lam,196.9,-8.2,0.6768,0.6802,0.6838,0.1571,0.1584,0.1595,7.9355,7.9804,8.0519,386,394,407,0.0122,0.0143,0.0167,0.0203,0.0242,0.0296,0.0473,0.0485,0.0497,0,0,1.62,-373,-113,-56,10.5,0.224,3.0,10.47588263,88.0458849,10.26733257,268.04588490000003
Orion_Lam,199.6,-11.9,0.7385,0.7422,0.7454,0.2617,0.3149,0.3173,7.9501,7.9741,8.0201,389,393,401,0.0192,0.0234,0.0286,0.0298,0.0357,0.0427,0.0569,0.0589,0.0611,0,0,3.11,-362,-128,-81,12.5,0.11,3.4,16.73185633,86.11805594,6.130181814,266.11805594
Orion_Lam,192.3,-8.9,0.7208,0.7239,0.7272,0.1862,0.1874,0.1886,7.9522,8.0453,8.1279,389,406,422,0.0147,0.0176,0.0211,0.0317,0.0374,0.0464,0.0403,0.0415,0.0427,0,0,1.87,-391,-85,-62,,,2.3,8.189498698,85.08348733,13.84391994,265.08348733
Orion_Lam,196.7,-16.1,0.6241,0.629,0.6344,0.1717,0.174,0.1763,8.114,8.1497,8.1996,419,426,436,0.0332,0.0399,0.0466,0.0206,0.0244,0.0286,0.0569,0.0591,0.0613,0,0,1.84,-392,-117,-118,-1.4,0.143,3.1,15.56446981,81.04335613,6.463300003,261.04335613
Orion_Lam,195.5,-13.7,0.6468,0.6522,0.6571,0.0838,0.0849,0.0858,7.9411,8.0065,8.0833,387,399,413,0.0123,0.0148,0.0175,0.0347,0.0405,0.0474,0.0292,0.0303,0.0314,0,0,0.88,-373,-103,-94,,,2.8,16.31238957,82.52602712,8.686974094,262.52602712
Perseus,157.5,-17.9,0.7632,0.7685,0.7739,0.147,0.1489,0.1504,7.2305,7.296,7.3527,279,287,295,0.0135,0.0165,0.0199,0.0477,0.0568,0.0692,0.0287,0.0302,0.0317,0,0,1.45,-252,104,-88,,,-2.7,11.9883409,53.41845846,33.86505064,233.41845846
Perseus,158.2,-20.9,0.5464,0.5542,0.5616,0.18,0.1847,0.1887,7.2311,7.2968,7.3556,279,287,295,0.0366,0.045,0.0557,0.0412,0.0502,0.0609,0.0759,0.0801,0.0843,0,0,2.08,-248,99,-102,6.7,0.033,-2.6,10.27201979,51.8943772,31.07521027,231.8943772
Perseus,157.7,-21.4,0.6176,0.6236,0.6292,0.1736,0.1772,0.1798,6.7977,6.908,7.0017,228,240,251,0.0244,0.0302,0.037,0.0451,0.0621,0.0819,0.0493,0.0521,0.0549,0,0,1.88,-206,84,-87,,,-2.2,13.73525041,51.10978598,30.95155834,231.10978598
Perseus,160.8,-17.0,0.6558,0.6608,0.6656,0.1324,0.1341,0.1355,7.1738,7.2121,7.2596,272,276,283,0.0222,0.0267,0.0319,0.0896,0.1023,0.1173,0.0502,0.0523,0.0545,0,0,1.38,-249,86,-80,9.7,0.024,-2.3,16.15953272,57.02179738,32.58592186,237.02179738
Perseus,159.1,-21.1,0.5161,0.5226,0.5289,0.177,0.1814,0.1851,7.2161,7.3222,7.4322,277,291,306,0.0254,0.0319,0.0394,0.0396,0.0495,0.0619,0.0825,0.0873,0.0921,0,0,2.12,-253,96,-104,6.2,0.032,-2.5,10.11180915,52.53246133,30.40796784,232.53246133
Perseus,160.8,-18.7,0.8071,0.8113,0.8152,0.2939,0.2964,0.2984,7.1573,7.2802,7.4121,270,285,303,0.0173,0.021,0.0258,0.0771,0.0894,0.105,0.0354,0.0374,0.0395,0,0,2.84,-254,88,-91,7.6,0.112,-2.3,13.49429367,55.73208875,31.28508082,235.73208875
Perseus,160.4,-16.7,0.4913,0.4982,0.5047,0.1445,0.1485,0.1519,6.6322,7.0422,7.2147,212,256,277,0.041,0.0503,0.0617,0.0508,0.0624,0.0757,0.0827,0.0868,0.0911,0,0,1.79,-230,82,-73,10.1,0.069,-2.1,18.40420727,56.90555428,33.06238163,236.90555428
Perseus,157.8,-22.8,0.6499,0.6562,0.6623,0.2016,0.2057,0.2086,7.0555,7.1091,7.1984,257,264,275,0.0179,0.0225,0.0285,0.0433,0.055,0.0683,0.0504,0.0532,0.0559,0,0,2.14,-225,91,-102,2.7,0.044,-2.3,11.17334789,50.2410024,29.76553815,230.2410024
Perseus,159.4,-21.3,0.5801,0.5877,0.5952,0.1183,0.1219,0.1245,6.0846,6.8531,7.183,164,234,273,0.0218,0.0269,0.0328,0.0405,0.0546,0.0687,0.0595,0.0623,0.065,0,0,1.33,-204,76,-85,6.1,0.037,-2.0,14.4977104,52.64771589,30.07885284,232.64771589
Perseus,159.9,-18.9,0.6226,0.63,0.6371,0.2301,0.2349,0.2389,7.1263,7.2314,7.3693,266,279,297,0.0224,0.0284,0.0363,0.0385,0.0462,0.0556,0.0793,0.0838,0.0884,0,0,2.48,-247,90,-90,9.1,0.032,-2.4,13.72164416,54.81090321,31.67066576,234.81090321
Perseus,159.7,-19.7,0.4883,0.4966,0.5049,0.27,0.2783,0.2862,7.5438,7.7028,7.8382,322,347,369,0.0257,0.0332,0.0423,0.0408,0.0493,0.0612,0.1158,0.1233,0.1314,0,0,3.36,-306,113,-116,6.5,0.048,-2.9,3.825513056,54.05178922,31.16473481,234.05178922
Perseus,159.3,-20.6,0.5334,0.5415,0.5489,0.1909,0.1961,0.2006,7.1418,7.2113,7.3044,268,276,288,0.0391,0.0484,0.0609,0.0346,0.0428,0.0548,0.0807,0.086,0.0916,0,0,2.24,-241,91,-97,6.4,0.035,-2.4,12.33788096,53.0591486,30.68938776,233.05914860000001
Perseus,158.5,-22.1,0.5896,0.5985,0.6074,0.1374,0.141,0.1444,6.8171,6.9283,7.0378,230,243,255,0.0324,0.0411,0.0506,0.0369,0.0451,0.0571,0.0679,0.0722,0.0769,0,0,1.53,-209,82,-91,4.0,0.032,-2.1,13.32967423,51.31996115,29.94692844,231.31996114999998
Perseus,158.6,-19.9,0.6514,0.6577,0.6644,0.2372,0.2411,0.2448,7.2785,7.3262,7.4343,285,291,306,0.0263,0.0338,0.0419,0.0318,0.0392,0.0489,0.074,0.0773,0.0807,0,0,2.5,-254,99,-99,,,-2.6,10.57664982,52.95229035,31.6448622,232.95229035
Perseus,159.9,-18.1,0.753,0.757,0.7614,0.2395,0.2417,0.2437,7.2754,7.4241,7.5253,285,305,319,0.0277,0.0333,0.04,0.0384,0.0456,0.0549,0.0373,0.0395,0.0414,0,0,2.37,-272,99,-94,8.7,0.086,-2.6,10.19363039,55.40602552,32.29129934,235.40602552000001
Perseus,160.0,-17.6,0.6916,0.696,0.7009,0.2577,0.2602,0.2629,7.5344,7.6015,7.7007,321,331,346,0.0272,0.0336,0.0413,0.0632,0.0742,0.0873,0.0593,0.0621,0.065,0,0,2.63,-296,107,-100,8.5,0.04,-2.8,6.372566308,55.8694401,32.61710627,235.8694401
Perseus,160.7,-16.3,0.6709,0.6765,0.6821,0.1427,0.1445,0.1462,7.3079,7.3628,7.4288,289,296,306,0.0173,0.0209,0.0252,0.0576,0.0671,0.0786,0.053,0.055,0.0571,0,0,1.48,-268,93,-83,10.2,0.056,-2.4,13.12139752,57.47674674,33.18024009,237.47674674
Perseus,160.4,-17.2,0.679,0.6843,0.6889,0.2724,0.2757,0.2784,7.1477,7.2678,7.374,268,284,298,0.0296,0.0374,0.0451,0.066,0.0765,0.0883,0.0628,0.0663,0.0696,0,0,2.81,-255,91,-83,9.6,0.047,-2.4,14.52180393,56.5218089,32.68012438,236.5218089
Polaris,129.5,17.3,0.6881,0.6956,0.7031,0.1037,0.1056,0.1073,7.5459,7.665,7.7879,322,341,361,0.0131,0.0161,0.0194,0.0519,0.0625,0.0732,0.0406,0.0422,0.0438,0,0,1.07,-207,251,101,,,-4.5,13.25413867,45.91076833,78.44898564,225.91076833
Polaris,126.3,21.2,0.7154,0.7257,0.7354,0.1031,0.1055,0.1074,7.613,7.6795,7.716,333,343,349,0.0149,0.0183,0.0219,0.0285,0.0349,0.0432,0.0406,0.0427,0.0449,0,0,1.05,-189,257,124,-4.4,0.8,-4.3,12.78730479,40.9674124,83.32368069,220.9674124
S106,76.0,-0.7,0.3014,0.3046,0.3079,0.9592,0.9697,0.9806,10.151,10.1906,10.234,1072,1091,1113,0.2135,0.2383,0.2628,0.0961,0.1003,0.1056,0.1873,0.1907,0.1945,0,1,3.99,263,1058,-13,-3.4,0.263,6.1,10.20724794,306.6622492,37.02240037,126.66224920000002
Taurus,171.7,-17.2,0.6232,0.6287,0.6343,0.2953,0.2983,0.3011,5.8459,5.8676,5.8836,147,149,150,0.0508,0.0613,0.0729,0.0401,0.0498,0.0628,0.033,0.0351,0.0372,1,1,1.21,-140,20,-44,6.8,0.007,-0.5,6.36145689,65.40872713,25.18402852,245.40872713
Taurus,171.4,-13.5,0.5836,0.5909,0.5981,0.1568,0.1599,0.163,5.8991,5.9462,6.0045,151,154,158,0.0256,0.0323,0.0403,0.0331,0.0439,0.0586,0.0445,0.0477,0.0506,1,0,1.74,-148,22,-35,5.8,0.005,-0.6,7.955418863,68.28093595,27.86199947,248.28093595
Taurus,166.2,-16.6,0.6028,0.6088,0.6145,0.12,0.1224,0.1243,5.6795,5.7003,5.7208,136,138,139,0.0188,0.0238,0.0298,0.0267,0.0328,0.0407,0.0315,0.0335,0.0355,1,0,1.32,-128,31,-39,6.8,0.003,-0.8,5.383741898,61.78701544,29.39125536,241.78701544
Taurus,170.2,-12.3,0.6225,0.6291,0.6354,0.1605,0.1635,0.1659,6.0938,6.1611,6.2768,165,170,180,0.0202,0.0264,0.0347,0.0638,0.092,0.1304,0.0349,0.0377,0.0407,1,0,1.73,-163,28,-36,4.6,0.007,-0.8,11.32653229,68.43200107,29.53251218,248.43200107
Taurus,174.5,-15.6,0.554,0.5596,0.5653,0.4304,0.4355,0.4403,5.9701,6.0121,6.0559,156,159,162,0.0376,0.0462,0.0565,0.0509,0.0597,0.0703,0.0528,0.0561,0.0594,1,1,1.77,-152,14,-42,5.8,0.004,-0.4,7.936066552,68.68153303,24.21746262,248.68153303
Taurus,169.9,-19.2,0.5621,0.5682,0.5743,0.0909,0.163,0.2773,5.5375,5.5675,5.6076,128,129,132,0.0281,0.0347,0.043,0.0249,0.0319,0.0416,0.0389,0.0411,0.0436,1,1,1.13,-119,21,-42,8.0,0.004,-0.6,3.784946705,62.50563321,25.06164086,242.50563320999998
Taurus,172.2,-14.6,0.5429,0.5493,0.5557,0.2232,0.2279,0.2322,5.6615,5.6976,5.7597,135,137,141,0.0316,0.0402,0.0506,0.0291,0.0349,0.0431,0.0504,0.055,0.0598,1,0,2.58,-131,17,-34,6.0,0.003,-0.5,5.070568637,67.92210591,26.55416748,247.92210591
Taurus,175.8,-12.9,0.5348,0.5438,0.5528,0.201,0.2085,0.2145,5.9401,5.9727,6.0162,154,156,159,0.022,0.0287,0.0369,0.0292,0.0357,0.0433,0.078,0.0829,0.0882,1,0,2.38,-151,11,-34,5.8,0.003,-0.3,7.599197151,71.85655188,24.95368636,251.85655187999998
Taurus,171.6,-15.8,0.5511,0.5583,0.566,0.1165,0.1533,0.1572,5.4493,5.5852,5.727,122,130,139,0.0397,0.0491,0.0605,0.0288,0.0368,0.0474,0.0485,0.0519,0.0555,1,0,1.73,-123,18,-35,6.5,0.004,-0.5,4.162522629,66.49045155,26.19347737,246.49045155
Taurus,173.5,-14.2,0.5427,0.5492,0.5555,0.2321,0.252,0.2572,5.611,5.8503,5.991,132,147,157,0.0441,0.0556,0.0706,0.0311,0.0408,0.0679,0.056,0.0614,0.0677,1,0,2.87,-141,16,-36,5.9,0.003,-0.4,6.377478964,69.17429585,25.85896341,249.17429585
